"","x"
"1",0.001805924788707
"2",0.00118929249712648
"3",0.00122888838577842
"4",0.00119212646422615
"5",0.00116796297873964
"6",0.00163375186931891
"7",-0.000263801098912615
"8",0.00130789373054474
"9",0.00157751223407349
"10",-0.000833608924964135
"11",-0.000390881083089394
"12",0.00163402691109685
"13",0.00230832232901624
"14",-0.000205683274620019
"15",0.000197722175456955
"16",0.00258848459970292
"17",-0.00109964104627709
"18",0.00143098486616319
"19",0.00105263463113017
"20",0.00187805713208641
"21",0.00146494426808468
"22",-0.000675729583719391
"23",0.00312654250700003
"24",-0.00059451454129896
"25",0.00215975405131899
"26",0.000399051493775075
"27",0.000753726155398954
