,Company Name,Best Model,Best Distribution,Economic Significance
0,2,sGarch,sstd,-0.5858657897153563
1,3,eGarch,sged,4.887321054771121
2,4,sGarch,ged,22.314909286967044
3,5,sGarch,sged,8.2187880169581
4,6,sGarch,sged,-0.787176624804431
5,7,gjrGarch,ged,10.616090640354425
6,8,sGarch,norm,3.428053565650835
7,9,gjrGarch,snorm,10.499816067613743
8,10,eGarch,norm,10.14314639772822
9,11,gjrGarch,ged,11.76446718652091
10,12,sGarch,ged,8.011463401581764
11,13,eGarch,std,-0.09201698184906348
12,14,gjrGarch,ged,0.6172173005192683
13,15,gjrGarch,sged,10.798758592430957
14,16,sGarch,norm,19.300394663693776
15,17,gjrGarch,ged,12.832072843477693
16,18,gjrGarch,norm,5.008637124820936
17,19,eGarch,std,5.267563416086496
18,20,gjrGarch,snorm,23.030535381836348
19,21,gjrGarch,norm,19.658154985219678
20,22,gjrGarch,ged,12.832072843477693
21,23,sGarch,norm,-0.10030073453126676
22,24,sGarch,sged,-4.3759010538404475
23,25,gjrGarch,sstd,9.220098459687431
